,mi_fecha,2019-12-01 00:00:00,2020-01-01 00:00:00,2020-02-01 00:00:00,2020-03-01 00:00:00,2020-04-01 00:00:00,2020-05-01 00:00:00,2020-06-01 00:00:00,2020-07-01 00:00:00,2020-08-01 00:00:00,2020-09-01 00:00:00,2020-10-01 00:00:00,2020-11-01 00:00:00,2020-12-01 00:00:00,2021-01-01 00:00:00,2021-02-01 00:00:00,2021-03-01 00:00:00,2021-04-01 00:00:00,2021-05-01 00:00:00,2021-06-01 00:00:00,2021-07-01 00:00:00,2021-08-01 00:00:00,2021-09-01 00:00:00,2021-10-01 00:00:00,2021-11-01 00:00:00,2021-12-01 00:00:00,2022-01-01 00:00:00,2022-02-01 00:00:00,2022-03-01 00:00:00,2022-04-01 00:00:00,2022-05-01 00:00:00,2022-06-01 00:00:00,2022-07-01 00:00:00,2022-08-01 00:00:00,2022-09-01 00:00:00,2022-10-01 00:00:00,2022-11-01 00:00:00,2022-12-01 00:00:00,2023-01-01 00:00:00,2023-02-01 00:00:00
presupuestos,0.10345425137074948,0.0,4.782472217853216e-05,0.0006335508845915299,0.00012463834162020957,6.8019760809224e-05,0.0003850598960234403,0.0003375726732430833,0.0001487221520948408,0.00019273978914648477,0.0013367286912236596,0.0005752592952829141,0.006021465283635046,0.005389167394174438,0.0006232539425260123,0.0005004305823716617,0.0004156935273720034,0.00021103032278812028,0.0002374498220173465,0.00025671442715561715,0.00022549750425375975,0.00012010142610056638,0.0006657596389964321,0.001731293984052711,0.006920624916661334,0.0008970935108764689,0.0017592744309282353,0.0003068309388361564,0.0003557967305440494,0.00012356117564310431,0.00012901742179956998,0.00018510302358609975,0.00017508191185257137,5.783846767998283e-05,0.00029347338407007223,0.0025255336758396524,0.0053864377467432055,0.0006211308632695266,0.00032117870090390906,0.00022708484323015482
presidenta,0.07133623089942853,0.006368612667218303,0.003066991613749317,0.004941436218287896,0.0028215775458708225,0.006416789006179304,0.0054567297551331015,0.005544323315781249,0.005153058684147305,0.002119856209585199,0.006581034752078798,0.0048075235048027085,0.008970173294191603,0.004233572324339375,0.0023885169269185925,0.00763551124441426,0.004740238617242262,0.005784332260545585,0.005274260034068971,0.003940161335295696,0.0094186594345436,0.003729301638944519,0.004985222937038883,0.002995438220707448,0.002649145890204994,0.004360398381674905,0.0014089024329832476,0.0041007034527692455,0.00613601740390071,0.005394024835850641,0.004386938219937269,0.007761343346383275,0.009242305192696079,0.002844715118043386,0.0018432212635670054,0.0031478874506367747,0.004206872033348454,0.0076618112901248835,0.0011034922397517297,0.006398475046301021
aplausos,0.06875881148148544,0.005889897745300419,0.010359466088008955,0.006690100994668266,0.003369160156973279,0.002804708154954712,0.0032976348628137734,0.005198943316334765,0.00518203474333139,0.003980858925317359,0.004831212076400694,0.006274562933301202,0.008647344913507202,0.010359390478486462,0.003499065486639254,0.00884376717742552,0.009823640515788644,0.00930869737033185,0.007191388677916825,0.00916619298114292,0.025239443081441507,0.003268258201417844,0.0071839365934506195,0.014253900440714035,0.012303106937187051,0.009045000208771964,0.005488756684203923,0.006020188726819529,0.0070776732664292515,0.0077467981378987185,0.00902477363001864,0.009481348840073687,0.008079845338530837,0.004941583782738656,0.007889912506925138,0.006971138520825917,0.008021064923745448,0.007480344477689293,0.005941975726578464,0.008231226081927822
gracias,0.06248903846069975,0.0016273523274817714,0.004081994644761722,0.00672750176469472,0.006015878951088795,0.005892400145395696,0.005565551039523994,0.007469599576097653,0.008309412809296222,0.00488876210638618,0.0060310730064816005,0.008923078081466296,0.010047938681591803,0.015655674930832367,0.00677638432387761,0.006786529080613611,0.007980772114440258,0.009775272993013517,0.008551389706770166,0.00794391099189421,0.010057012300768362,0.006291206915159298,0.009545083740233334,0.007969435266068773,0.008851559610131367,0.00721596657475271,0.005457737037669023,0.0053486724174395504,0.009059461764512697,0.007222147837266461,0.009427555819941433,0.010296965745486624,0.008840808845335498,0.005187974039758814,0.006809018376733645,0.003434967061996568,0.008207726212896256,0.007294423969678973,0.004456648829137273,0.00954042556602509
ley,0.046380838017880066,0.0012390486506316419,0.001378181312064504,0.0029744588978325207,0.0017076991614082934,0.0009048600637242498,0.0021806491457964116,0.0024632228407943475,0.0019456729233858462,0.0011037283941714951,0.002799950985720724,0.0020254145246299243,0.0024437425285733223,0.0018347774528331235,0.0023605676247667115,0.0029298713860961634,0.002781683844638791,0.002240556134309071,0.003733961776705946,0.003401603280815379,0.003938761523386328,0.0013750675490995109,0.002888693306830671,0.0033471068823944868,0.001506136913888963,0.004593676778299716,0.0037924235286513354,0.003126757188552895,0.0029449018492930593,0.0025748594277693374,0.003237787670013335,0.0030401473037894302,0.004546633630766531,0.0035826988627416993,0.0028269161643375406,0.0032751768231259006,0.0032560470125740457,0.005851677600825651,0.0026193616219744443,0.005214801930004135
usted,0.04004003182835758,0.0006578984361230159,0.005728885771273829,0.0054566298693851266,0.0017216030659315824,0.007774565918994492,0.010867001943563818,0.005862501130285797,0.005492986935890698,0.0003628638492249373,0.006739216070134788,0.006914212984946918,0.005905779826916804,0.004858907065487644,0.0006733721083208903,0.006920378366618936,0.0062686635126598415,0.007109307695423942,0.0048829843563242365,0.006019882487687967,0.0035415975732426535,0.0009106650428658575,0.006112539133526962,0.006708962501473987,0.005485000952931574,0.005225675830592443,0.0014868800396655717,0.0046956383279530885,0.0047608498376067185,0.006276641580558191,0.005611815791816257,0.003905791219876059,0.003863566845476652,0.003324409795880643,0.004192455993615194,0.005954189084745586,0.0036355475027162725,0.0045949183439674985,0.0048487944460573525,0.005077908954689347
2022,0.039241727257160575,0.0,0.0,6.28370221917504e-05,1.5337578615571654e-05,0.0,0.0,1.2969734617527881e-05,4.300698777538682e-05,0.0,7.271663312876415e-06,3.2514863028643207e-06,3.623445860393993e-05,2.4416912624899373e-05,2.0322709760635813e-05,3.611181301568449e-05,4.986632436556331e-06,6.443905701033561e-06,0.0002014497998697515,5.045322211720462e-05,8.454692801889739e-05,0.0,0.00015545426021064504,0.0006241395546226306,0.0008619064264858864,0.0003574820425215655,0.0011410671408142925,0.00028800255553444113,0.00041928157775478485,0.00029682350030937063,0.0004252129374930412,0.0004830784521989558,0.0004893593446550714,0.0006683543000113647,0.0007766771761525867,0.0005447639277732102,0.0007210822115449262,0.00037857750612204836,0.0006787295325327859,0.0005967275854509926
presidente,0.03896004372755835,0.0038821946143659455,0.0030442557176212546,0.00156553827219518,0.0010754315446929322,0.002278194923653982,0.0016012971585514545,0.0029229463474371247,0.0035350396872231554,0.002571682358434407,0.0026010151198325084,0.002002545152266068,0.0027873990600067655,0.0020389789755141333,0.0030062820919461897,0.0024356236827041953,0.002278082720327475,0.004971171934502403,0.0035717779833798337,0.003042470557461747,0.0006443005663450054,0.0033857740997906803,0.0035180162627441542,0.003302887242755739,0.003777959405023197,0.002863077575603667,0.0036828610997044708,0.003378360502965837,0.004685801952917784,0.002361381191211351,0.007761021754476492,0.003745962258680624,0.003234589921000758,0.0007341170665992268,0.006847713186456702,0.0010959581216996312,0.0019447005128234137,0.005414791133232502,0.0021604557326534955,0.003683267656848389
ucrania,0.03886047300155182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013494093392193282,0.0001863135754224247,0.0017269742150032344,0.0012553258001295905,0.0006287109642609517,0.0006425748400933027,0.0006662392208651542,0.0011498488424518608,0.000933956120064901,0.000610887199430626,0.0004793579857851087,0.0003900599362549688,0.000938967097587412,0.00038780704936763535
alarma,0.038258215739250145,0.0,0.0,2.0453141842502362e-05,0.001853100149933161,0.0033648358706387105,0.006094162352995431,0.0016368751885021435,0.0009493666722024478,0.0006024056703317584,0.0003556586479828018,0.001544406828235325,0.0008435273912637087,0.000776676359437915,0.0009993384610442455,0.0006236825550157794,0.00032458242803382666,0.0008114328082622176,0.0009289668206363416,0.00011014241723485453,0.0019153929129294193,0.0028297012886670473,0.00032313326088848543,6.742078751078295e-05,0.00010213801699977617,3.267037712492015e-05,0.00018921123728251027,0.00013130002756555172,0.00011522514469658971,0.00010386113088158054,0.00013488251195215532,4.43046391202386e-05,0.00016541317059167305,0.00020314623160613273,2.6986903652134653e-05,0.0,0.00026074242334806467,4.47079078242643e-05,0.00010673921423247758,2.0263579312356802e-05
