,mi_grupo,ERC,PNV,PP,PSOE,UP,Vox
aplausos,0.13642156070171874,0.007932962663209737,0.00041599279750766365,0.00923705947560707,0.008001180781427858,0.00975533698623521,0.007852813232750987
vox,0.10512061382738791,0.000996787772067103,0.0005866873350914545,0.0009997355556157625,0.0015589679428446742,0.0013095257207263599,0.009515753393433525
españoles,0.09633786567524272,0.00012059420520795087,7.244326028780826e-05,0.004065793024839425,0.0011162610574705996,0.0005396026922634929,0.004919241264889898
pie,0.08657254932761838,0.0005766983630232591,6.502178452482496e-05,0.0008157081886298852,0.0008560421988639937,0.00042539628258608195,0.007341303030390364
puestos,0.0747446104997036,0.0007716710303996729,9.39787919827197e-05,0.0008148428310896143,0.0008317380210392518,0.0005452514437696755,0.007048829222026748
sánchez,0.07291096277459053,0.00037940167059186683,0.00012351607547032603,0.0040135989327493285,0.0005332815854355812,9.883200375787073e-05,0.0017787612389156718
señoras,0.06755174442699508,0.0008725859270525636,0.00034949253753656183,0.0009624868031283443,0.0009972684684090166,0.0005665594058751691,0.006980071776647952
señoría,0.05948593278501724,0.00011516739756309446,0.00012559420031813863,0.0014808082498190068,0.004122867695213235,0.004112478751103625,0.0005973121531816363
señores,0.056889517771173015,0.0011742930897121419,0.00037526963311852117,0.0021955996741374545,0.0014515073659870645,0.0010957267780304088,0.006874650685277742
país,0.051060092535148094,0.0014356330048470286,0.0006437528434724325,0.0022368287892478,0.003270260515574663,0.003787856407055624,0.0008587482888933197
parlamentario,0.04731708397696055,0.0012153786184035725,0.0012005275089886764,0.0014419544523637956,0.0022836137559142235,0.0012979143896456715,0.0062905244193777335
diputados,0.046599857901990394,0.0015746852164603775,0.0004034068812019917,0.0017456509046821732,0.0013956364227483535,0.0010172596322394322,0.0068266352401906375
españa,0.045454066043175256,0.0010611330939739236,0.0006406750372537762,0.003896894732030312,0.0035760589519737472,0.0026682977914085906,0.005179775273294072
derecha,0.04450252842900548,0.001853424041830572,8.247168810455785e-05,0.0001083329305765246,0.0009984672859443134,0.0013694031058468176,0.0002029415044605829
usted,0.042539914372030196,0.002471646439407629,0.0023158672621707015,0.00922381191292692,0.005483188538659576,0.002995304493221115,0.005510999009658525
presidenta,0.04151376890151415,0.005203247290365525,0.005398795435370237,0.006571751643221694,0.0053290111541968435,0.0033824316472497004,0.004172651831207982
euskadi,0.037931015804367085,8.303081144121973e-05,0.00183499798357325,0.00022922259001262346,0.00015801582897758583,0.00015251751154019287,1.3324115901378852e-05
gobierno,0.03742834702421538,0.003290097181440276,0.002838916371770723,0.00584802987279676,0.005862649879091261,0.0033978418339599232,0.004533023475941489
muchas,0.037286072224036904,0.007809321879310075,0.005871838812991467,0.0067892108737298085,0.005265961474575461,0.004935122528887064,0.0035377835022263075
gràcies,0.03680890853157681,0.0024734058571763097,0.0,0.0,4.27403975815804e-05,0.000363388677643043,1.7619045968005052e-06
ciudadanía,0.03679138546865479,0.0007865241844644745,0.0009391636269262763,9.105928152698075e-05,0.0009062348893382842,0.0009153736070911956,9.088385397709224e-05
on,0.03497540716793468,2.9595362712906487e-05,0.0009570953983482009,0.0,8.348122287121223e-05,6.50300548235014e-06,0.0
venia,0.03358137096020908,0.0,1.3833906048180853e-05,0.0002090210762725903,0.0,9.392079030599369e-07,0.0018651442182243184
gracias,0.03241065838427026,0.010199887058610007,0.008049239545010082,0.008833695124424166,0.007119918762370653,0.00897651175130093,0.006571834964388177
señora,0.03210163458444626,0.0034961792614676326,0.0033060236072195797,0.00734220731586595,0.005868014568274029,0.003068421622942879,0.005941615004028497
popular,0.03194231983403162,0.0007253582284857907,0.0007828448011207107,0.0033656001271930016,0.0029512932904197935,0.0027607117622897737,0.0012572380971015186
expediente,0.031929029860211955,5.7800569086311904e-05,0.00018139734568675434,8.794072760981206e-05,0.0013124526498693176,0.0006702403136326688,0.00015212085187584553
separatistas,0.03118964956268222,2.2764959683721225e-05,0.00011150829143819682,0.00018058048699266617,1.7493200937046922e-05,7.555499826135497e-06,0.000636044771323842
bona,0.030805200404848243,0.0007259430582804565,0.0,6.0843982833508846e-05,5.696463330285179e-06,9.106964115527926e-05,8.381539866527976e-07
